Comentario	Indice Moral	Damage	Views	Deley
KEKW	1	1	4	6
PogChamp	1	1	4	9
eh??	1	1	4	4
Cómo me suscribo??	1	1	4	12
para cuando el juego de terror?	0,8	0,7	3	8
casi me caigo del sueño	0,25	-1,5	-1	3
Tienes el carisma de una piedra lol	0,1	-1,8	-3	11
no se escucha	1	1	4	14
hey. holaa	1	1	4	5
habla menos que cansas demasiado	0,5	0	0	10
dios mio. Es que eres insoportable	0,4	-0,5	-1	11
xdd	1	1	4	13
No me entero de nada	0,8	0,7	3	3
Eyy. cuando empezo el directito?	1	1	4	9
absurdo. la verdad	0,6	0,3	1	7
no entiendo como tienes la fama que tienes	0,35	-1	-2	5
un poco másss y llegamos al millon!!	1	1	4	14
Estoy tenso. Gracias por abrir tempranito <3	1	1	4	7
buen corte de pelo. me gusta	1	1	4	13
Entretener no es de tus mejores cualidades	0,4	-0,5	-1	8
tu voz me pone de los nervios. dios santo	0,3	-1	-2	3
Amo el nuevo set-up muchisimo!!	1	1	4	12
no me deja seguirte wtf	1	1	4	7
tengo que agarrar la pala. adios	1	1	4	8
no da risa el comentario	0,65	0,3	1	10
Cuando empieza el partido?	1	1	4	9
nah no creo	1	1	4	6
y esos auris de fracasado?	0,3	-1	-2	14
Se me cayó el arroz. La re p	0,7	0,5	1	10
acá hace calor. sí.	1	1	4	13
xQcL	1	1	4	8
Hay que estar muuuy loco. jajaj	1	1	4	14
amo las nuevas fotos de instaa	1	1	4	8
!sorteo	1	1	4	9
!redes	1	1	4	12
!tiempo	1	1	4	7
Sería una buena colaboración	1	1	4	6
que lindo verte a esta hora en directo!	1	1	4	13
yo a tu edad tenia un trabajo de verdad	0,4	-0,5	-1	10
acabo de vomitar de la resaca. ayud...	1	1	4	12
Chat. se me acaba de caer mi abuela. La levanto??	0,65	0,3	1	11
estas cansado?? de que? de no hacer nada?	0,2	-1,5	-1	8
Nada como un buen cafeciiito	1	1	4	4
sisisi	1	1	4	12
creo que eso que estas diciendo no es legal	0,85	0,7	3	9
wuuuooolaaa!!	1	1	4	7
Impecable.	1	1	4	15
todavia sigo esperando la historia del carrito	1	1	4	13
me tengo que ir al colegio. chao :(	1	1	4	6
<33333	1	1	4	12
le voy a robar la tarjeta a mi madre asi regalo subs	0,4	-0,5	-1	10
alguien que regale subs? soy pobre xd	1	1	4	5
Eureka!	1	1	4	14
UwU	0	-2	-4	11
 Est libro es aburidoo. no pasa nada interesante.	0,5	0	0	9
Esta peli es una perdida de tiempo. ni me rei una vez.	0,8	0,7	3	7
La calidad dl video es malisima. no se ve ni mergas.	0	-2	-4	13
La musika es mala. nisiquiera canta bien.	0,9	0,9	3	10
El ejersisio q estan aciendo no sirve. no ban a bajar de peso nunka.	0,9	0,9	3	12
Este jueggo es un asco. los graficos son horribles.	0,3	-1	-2	4
La receta es confusa y se ben incompletas. no podria cocinarla.	0,1	-1,8	-3	8
Esa ropa no tiene estilo. esta todo mal comvinado.	0,2	-1,5	-1	13
Este anime no entiendo nada. la trama esta mui rara.	0,7	0,5	1	11
Este proyecto es un desatre. no se puede aser.	1	1	4	6
Este destino de viaje es muy común. no ay nada emocionante.	0,3	-1	-2	14
El libro no me engancho. la historia es mui lenta.	0,7	0,5	1	10
Esa comida parece asquerosa. no la comeria ni gratis.	0,3	-1	-2	5
Los memes son estupidos. no entendi ninguno.	1	1	4	12
Las conversaciones en este chat son una perdida de tiempo. nadie dice nada interesante.	0,9	0,9	3	8
El jueguito ese es bien feo. los gráficos parecen de los 90's.	0,9	0,9	3	13
La película no me gustó nada. me dormí antes del final.	0,3	-1	-2	9
La música que están poniendo es puro ruido. no entiendo cómo alguien la escucha.	0,4	-0,5	-1	11
Ese ejercicio es una pérdida de tiempo. no va a dar resultados.	0	-2	-4	14
El libro es una lata. la historia es aburrida y sin chiste.	0,6	0,3	1	7
La ropa que lleva puesta es un horror. no tiene estilo.	0,5	0	0	13
La comida se ve asquerosa. no puedo creer que lo estén comiendo.	0,3	-1	-2	10
Ese anime no tiene sentido. no sé por qué lo siguen viendo.	0,3	-1	-2	11
Este proyecto de bricolaje está destinado al fracaso. no saben lo que hacen.	0,2	-1,5	-1	6
Ese destino de viaje es aburrido. no hay nada emocionante que hacer.	0,8	0,7	3	12
Estos memes son una tontería. no entiendo por qué se ríen de eso.	0,1	-1,8	-3	9
Las conversaciones en este chat son súper aburridas. no aportan nada.	0,8	0,7	3	14
La comida que están cocinando parece infecta. no la tocaría ni con un palo.	0	-2	-4	7
Este juego es para niños. no entiendo cómo pueden jugarlo en serio.	0,9	0,9	3	11
La película es un desperdicio de tiempo. la trama no tiene sentido.	0,1	-1,8	-3	10
Este juegito es una porqueria. no tiene nada de diversión.	0,4	-0,5	-1	8
La peli esa es un rollazo. no pude ni acabarla.	0,4	-0,5	-1	6
La musika que ponen aquí es pésima. parece ruido de maquinas.	0	-2	-4	13
Ejercitarse? Pa' que? No sirve pa' nada.	0,6	0,3	1	9
Este libro es reaburrido. no pasa ná interesante.	0,8	0,7	3	12
Esa ropa no combina. se viste como un espantapájaros.	0,9	0,9	3	4
El anime ese está rarísimo. no sé ni de qué va.	1	1	4	14
Este proyecto de bricollage es un desastre. no lo intenteís en casa.	0,5	0	0	10
Ese viaje es lo peor. no hay nada que ver allá.	0,2	-1,5	-1	7
Las memes que muestran son tontos. no me dan risa.	0,1	-1,8	-3	11
Las conversaciones aquí son una perdida de tiempo. nadie dice nada útil.	0,2	-1,5	-1	5
Ese juego es re abburido. no le veo la gracia.	0,6	0,3	1	13
La pelicula ni vale la pena. me aburrí a los 5 minutos.	0	-2	-4	8
La muzica que estan poniendo es pesima. no la soporto.	0,8	0,7	3	12
La comida que están cocinando parece un asqerozo. no la provaría.	0,2	-1,5	-1	9
Ese libro no me engancho para nada. la trama es confusa.	0,6	0,3	1	6
El ejercicio que están haciendo no sirve pa' nada. se ven ridículos.	0,8	0,7	3	15
La ropa que lleva puesta es un desastre. no tienen estilo.	0,8	0,7	3	10
Ese anime es un asco. la historia no tiene sentido.	0,8	0,7	3	13
Este proyecto de bricolaje está mal hecho. no saben ni por donde empezar.	0,3	-1	-2	7
Ese destino de viaje no tiene nada que ver. no lo recomiendo.	0,1	-1,8	-3	11
Los memes que comparten son tontos. no me hacen reir.	0,8	0,7	3	8
Las conversaciones en este chat son un toston. nadie dice nada interesante.	0,8	0,7	3	12
La película que están viendo es una perdida de tiempo. no la miren.	0,8	0,7	3	14
